Position,Move,Depth,Score
1b2k3/p7/7p/1Qp1pbp1/4q3/1B4P1/PP5P/2K1B3 b - - 1 24,e8e7,19,+27
3r3k/1p4pp/5qB1/p1p5/P7/2P2N2/1PQ3PP/R6K b - - 0 26,f6g6,1,+6167
r1knr3/ppppp1qp/2n1b1p1/8/3bPP2/N1N1B3/PPPP2QP/R1K1R2B b KQkq - 2 9,d4e3,19,-10
b1r2rk1/p2n2qp/1p1p2p1/5p2/2P1p3/1P2PN1P/P3BPP1/2R2RKQ w - - 0 14,f3d4,19,+4
q1r2rk1/1pp4p/1nn1p1p1/3pP3/3P4/PQBB4/5PPP/2R2RK1 b - - 0 19,f8f7,19,+33
Q7/p7/2p5/1pk2N2/2B5/PP1P4/2P4P/4RK2 w Q - 0 37,a8a7,1,#+1
brqknb1r/pppppppp/5n2/8/5P2/3P4/PPP1P1PP/BRQKNBNR b KQkq - 0 2,f6g4,19,-48
1r1r2k1/pp3ppp/4p3/2pq4/3P3Q/1PP1R3/P4PPP/3R2K1 w - - 2 22,e3d3,19,+21
q3k1rb/1bn1pp1p/2n3p1/2p2P2/1p1pP3/3P2N1/1PPBN1PP/1Q3RKB b k - 0 15,c6e5,16,-188
3r4/5n1k/3pq1b1/2pR2p1/Pp2p2p/1P2BP1P/2PQ2P1/3R2K1 w - - 0 40,f3f4,1,+1546
Br6/p2pk2p/5pp1/3Q4/1b3P2/KP2P3/P1qP3P/B1R1R3 w - - 5 28,a3a4,2,#-1
nr2k1r1/pp2bppp/q1ppb1n1/4p3/2P5/1P2P1PP/PBNP1PB1/1R1QK1RN w KQkq - 3 9,f2f4,19,+84
1b1r1knr/pp2q1pp/1np2p2/3pp2b/4P3/1P1P1N1P/P1PN1PP1/1BBRQRK1 w kq - 1 9,c2c3,19,+53
rknr1bbq/ppp1p1pp/3p3n/4Pp2/3P1P2/3N3P/PPP3P1/RK1RNBBQ b KQkq - 0 6,g8d5,16,+129
q1r2rk1/pp2bppp/1n1p4/2pPp3/P1P3Pn/1PN1PP1b/4K3/Q1RBB1RN w - - 0 13,e1h4,10,+482
1rknbr2/ppppp2p/1n4p1/q1N2pP1/5P2/8/1PPKPB1P/1R3RQB w kq - 1 9,d2c1,13,-337
6b1/p1p2p2/2k1pPp1/1pprP1Pp/3P3P/2PK4/PP1RR3/6r1 w - - 0 29,b2b4,13,-435
r1q2krb/ppp1pp1p/2np2p1/8/2nPQ3/1N2P1P1/PP3PKP/R2NBR2 w kq - 0 10,d4d5,13,+318
6k1/1p4pp/5b2/4p3/8/KP1r4/8/8 b - - 1 51,e5e4,1,-11441
5r2/2k4p/2P3p1/b7/3R2B1/4P1P1/P2p2KP/8 w - - 4 42,d4d5,16,+171
4rr2/p4k2/1p2b1p1/2p2pQ1/2Pp4/PP1B1R2/K5PP/3R4 w - - 1 34,f3h3,1,+10574
1kr1qbr1/pbp2npp/1p1n1p2/3pp3/3P4/1P1NP1N1/PBPQBPPP/1R1K2R1 w - - 0 11,d3b4,13,-217
qrkrnbbn/p1ppp1pp/1p6/5p2/3P4/3N1P2/PPP1P1PP/QRKR1BBN b KQkq - 1 3,g7g6,19,+11
4r1qb/p5pp/1pk5/3pp1n1/8/1P2N1PQ/P1PP3P/2R1K3 w Q - 0 20,h3g4,10,-444
2brk1q1/pp1n1pp1/2pp4/P7/2PP1n2/1Q4N1/PB3PPP/3RK1R1 w KQq - 1 16,b3e3,1,+6721
r4rkn/3b1ppp/2p2b2/p2P4/P1Np4/3PqP2/BP2QN2/R4K1R w - - 4 26,c4e3,1,+3660
4rr1k/p5pp/1p4n1/5p1R/8/2PQ1Pq1/PPB3P1/1K1R4 b - - 1 27,g6f4,10,-1188
qbnnk1br/pp5p/5pp1/8/2Pp4/1P3P2/P2P2PP/QBN2KBR w K - 0 10,g1d4,19,+94
8/8/3B4/1p6/2p3Kp/PkP5/1P6/1b1N4 w - - 0 54,g4h4,10,+1422
brnkn1rq/ppppppbp/6p1/8/4P3/6P1/PPPP1P1P/BRNKNBRQ w KQkq - 1 3,f2f4,19,+42
4R3/k2r2p1/p1p4p/4p3/n1PpN3/P2P4/2K1P1PP/8 w - - 6 37,c2b3,10,+1107
1nrkrqb1/ppn2p1p/4pbp1/3p4/3P1PP1/1N6/PPPN1B1P/2KRRQ1B b kq - 2 9,f6e7,13,+247
1b2rk1r/p1n4q/1pp2p2/3pp1p1/3P3p/2PN1P1P/PPNRPQP1/2K1R3 w k - 0 17,d4e5,16,+167
8/3p4/2kB2p1/2p5/1p2q3/1P3P2/P2PP1PP/3NK2R w - - 0 24,f3e4,1,+11663
1k1r3r/p1p1qppp/4pn2/3p4/3P4/5P2/PPP2QPP/2KR2NR w - - 0 17,g1e2,19,+14
1qk4n/p2bbp2/1p6/2pp4/8/1P1P1n2/P1P1PPPP/1RKB1R2 w KQ - 0 14,e2f3,1,-11302
7b/pp1Nk3/2n5/1b3Bp1/6P1/6B1/PPP4P/2KR4 w - - 3 23,d1e1,1,+10190
bq1r1bkr/ppp1pppp/3pP3/8/4Q3/8/PP3PPP/B1NRNBKR b KQkq - 0 7,f7f6,1,+6948
1bq2rkr/pp1pp1pp/1np1npb1/8/3PP3/1PP3P1/P4P1P/NBQNBRKR w KQkq - 1 6,f2f4,19,+76
qr2kb1r/1p3ppp/2np1n2/pN6/4P1b1/1P2BN2/P1P1BPPP/QR2K2R b KQkq - 7 10,b8c8,13,+393
1r1k3r/2p1bnpp/pp1p4/3q4/3NN3/BP6/P1P4P/QR2K1R1 b Q - 0 17,d5e4,2,-1553
1r2qrk1/7p/n4np1/bppp1p2/p4N1P/P1P1PPP1/1PN5/1KBRRQ2 b - - 2 23,e8f7,19,0
6k1/5p2/5b1p/3n2p1/8/6P1/r4PKP/1r6 w - - 0 42,g2f3,1,-12237
rqn1r1k1/ppp2ppp/8/3pPn2/5P2/3N2P1/PPP1P2P/RQ1B1KR1 w KQ - 1 11,b1c1,16,+121
brk1q2r/p1p1b1pp/1p1p1n1n/5p2/5P2/1PN1PN1P/P1P3P1/B1KRQB1R b kq - 4 11,b6b5,16,+167
nqrkbbnr/pp1p1ppp/2p5/4p3/4P3/5N2/PPPP1PPP/NQRKBB1R w KQkq - 0 3,b2b4,19,+41
4Q1br/pp2p1kp/1q3pp1/8/3N1P2/1P1BP3/P2P2PP/5K1R b K - 3 16,g8f7,1,+4127
8/7p/1k6/1N1P4/2P2P2/pP6/n1K4P/8 b - - 0 54,a2b4,4,+1695
r4rk1/p2pp3/2pnnbp1/Rp6/2PP4/2B1N1P1/PP3P2/3R1NK1 w - - 0 19,c4b5,19,+17
qnb1rk1r/p2p1ppp/1p2p3/2p1P3/1nP5/1P3N2/PQ1P1PPP/1N1BRRK1 w kq - 1 9,e1e3,13,+317
2R1n1r1/p2k3p/1p1Np1p1/4P3/P4PP1/1P6/8/1K6 w - - 1 31,g4g5,10,+456
rnk1r1bq/1p2p2p/p1p3p1/3p1P2/3nB3/2P3N1/PPP2PPP/2KRR1BQ w kq - 0 10,d1d4,10,+818
