Position,Move,Depth,Score
r7/r1k1n1pp/2b1nq2/1pPp1p2/1P1PpP2/6P1/PBBN2P1/1KQ1R1R1 w - - 3 25,a2a3,50,+53
bnrbnqkr/p1pppppp/1p6/8/8/4PN2/PPPP1PPP/BNRB1QKR b KQkq - 0 2,h7h5,50,-3
1r3rk1/p2b1ppp/1p3b2/4p3/1B1pq3/1P3N2/PQ2BP1P/1RN2K1R w KQ - 0 16,b4f8,30,+339
rnqbbnkr/ppp2ppp/3p4/4p3/4P3/6N1/PPPP1PPP/RNQBBRK1 b kq - 1 3,d8g5,50,0
6k1/5nbb/p2p1n2/2pPp3/N1P1P2B/P1N4P/6P1/1B4K1 b - - 0 28,f6d7,30,+346
2krr3/p4P1p/8/6P1/P7/2pp3P/B3p3/R3K3 b - - 0 32,d3d2,9,#-7
rknrbbqn/pppppppp/8/8/8/5P2/PPPPP1PP/RKNRBBQN b KQkq - 0 1,a7a5,50,+19
1r1knrqb/ppp4p/1n1p2p1/4pb2/5P2/1N1P2P1/PPPB3P/1R1KNRQB b KQkq - 1 7,e5f4,50,0
1bbr1rk1/pp2Q2p/2p2B2/5p2/2pP2PP/2P2P2/PP4K1/3R3R b - - 0 19,d8d7,20,+610
2r1k3/p5bp/8/5RN1/1P2n1p1/2p3P1/4P2P/B1K2R2 b - - 1 22,e4g5,20,+462
1r2qrk1/pbb1p1pp/1p3p2/1PpPn3/2P1B2N/2Q5/P4PPP/BR2R1K1 b - - 2 15,e8h5,40,+125
2r3k1/Br2pp1p/4q1p1/3pb3/1Pb5/2P1N1P1/3KP2P/3QR2B w - - 1 24,d1a1,20,-589
8/pp4pk/1n1bq2p/1QNppn2/8/2PPP1B1/3K2PP/1B6 b - - 9 26,e6f7,30,-387
rnnqbbkr/ppp2ppp/8/3p4/4pN2/4P3/PPPP1PPP/RN1QBBKR w KQkq - 0 4,d2d3,50,91
5rk1/p2p1pn1/5Q2/1p6/7P/1P1p2P1/P2K4/6r1 w - - 1 25,f6f2,20,-500
1rknrb2/p3pp2/1pb2n2/q6p/6p1/1P1B1P2/P1PP1NPP/B1KR2RQ w kq - 2 14,c1b1,30,-315
nrkb2qn/ppppp1pp/8/5b2/8/8/PPPP1PPP/N1KRBRQN b q - 1 5,g8a2,50,-128
rbbnknqr/pp2p1pp/2p5/8/3Pp3/2P5/PP4PP/RBBNKNQR w KQkq - 0 6,f1d2,50,47
r4r2/6p1/4p3/1k5p/p1pPpR2/P1P1Pn1P/P2B1K2/8 w - - 0 29,f2e2,20,-870
2k5/1ppn1p1r/p7/1b3RB1/7P/2P5/PP4P1/2K5 b - - 6 27,f7f6,20,-478
brk1rqnb/pppppppp/4n3/8/8/1P6/P1PPPPPP/BRKNRQNB w KQkq - 1 2,e2e4,40,+103
2kr1r1q/pbbppp2/1p2nnp1/2p4p/2P5/1P2NN1P/PBBPPPP1/1R2KR1Q w KQ - 1 11,e3d5,50,+3
8/3r1p2/2k1p1p1/1p4P1/3PKP2/2P5/8/1R6 w - - 5 48,b1a1,50,0
nbqkbr2/pp4Np/6r1/2pp4/2PNp3/4P3/PP1P2PP/1BQR1RK1 b - - 0 14,c8h3,12,#-8
r1k1b1rn/pp5p/2pq1pp1/3pp1B1/4P3/3P1B2/PPP2PPP/RQK2RN1 w KQq - 0 11,g5d2,20,+455
rbbqnkrn/ppp1pppp/8/8/4p3/3P4/PPP2PPP/RBBQNKRN w KQkq - 0 3,h1g3,40,-149
r4q1r/1p1k1pb1/2pn2pp/p2nB3/3N2PP/2PP2Q1/PP6/1RNKR3 b Q - 3 19,a8e8,50,0
3q1bb1/4nppp/1r2pn2/1B6/Q7/3NkP2/P1P3PP/1RK2N2 b Q - 5 23,e3e2,3,#+2
