Position,Move,Depth,Score
q2r1kr1/p2bnpb1/3p1n1p/1p1Pp1p1/2p1P3/2P2PP1/PP1B1NBP/QN1R1RK1 w kq - 1 14,b2b3,13,226
rk2q1br/1ppp2p1/1n3pnb/p3p3/4P2P/1N1P2P1/PPP2PB1/RK2QNBR w KQkq - 0 9,b3a5,16,123
r3krbq/ppppbppp/1nn5/4p3/4P3/1NN2P2/PPPP2PP/R2BKRBQ w KQkq - 1 5,d1e2,19,-13
1b1r1r1n/p2kp1pp/2qnbp2/3p4/5P2/2PNP1N1/PB1P2PP/QBRK1R2 b KQ - 4 12,d7e8,19,-3
1nrk1bbr/pppp1ppp/1n6/4q3/3PP3/8/PPP3PP/NNRKQBBR b KQkq - 0 4,e5h5,19,87
nqbrkbnr/ppp1pppp/3p4/8/8/3P4/PPP1PPPP/NQBRKBNR w KQkq - 0 2,g1f3,19,19
rknqnrb1/p2p3p/p1p3p1/4bp2/8/6P1/1PPPP2P/RKNQNRBB w KQkq - 0 7,e1d3,16,129
8/p4p2/1p1kr3/2p2pRp/2P4P/1P1K4/P7/8 b - - 1 33,f5f4,13,-374
3r3k/pbbrQ1pp/1pp4N/4p3/P1PpP3/1P3P2/6PP/R2B1RK1 b - - 0 22,d7e7,16,-142
5k2/3q2p1/1p6/p7/2P2Q1p/7P/PP3PPK/8 b - - 4 34,f8g8,10,839
2k2rq1/1p4pp/1nnQbp2/p1B5/P3P3/1P3P2/2P3PP/1K1RR3 b - - 3 25,f8d8,19,71
rkbqrbn1/pp3ppp/2p3n1/4p3/3pP3/3P1PP1/PPPB3P/RK1QRBNN b KQkq - 1 6,a7a5,19,-50
bb1r1rk1/p1p1n1pp/4Bp2/8/1P1Pp3/2q5/P2N2PP/B2R1R1K b - - 0 15,g8h8,10,-1538
8/ppkp2p1/2p2p2/8/2QP1n2/P3q3/1P5P/3RK3 w - - 2 30,e1f1,10,-1008
rk1nbq2/p1rpnpbp/1ppBp1p1/4P3/2NP1PP1/P7/1PP4P/RKR2QNB b KQq - 1 10,d8b7,10,484
1bn2krn/p1p2ppp/1pb1p3/8/4P3/2P2PN1/PP4PP/BBNR2K1 b k - 0 9,f8e7,19,37
q1b1r1kr/p2n1ppp/1b4n1/1p6/8/B1Q1P1NP/P1P2PP1/4R1KR b KQkq - 0 12,h7h5,10,-4006
r2b1rk1/ppp4p/3p4/3Ppb2/2P1N2n/3Bn1p1/PP1N1R1P/R5K1 w - - 0 21,h2g3,10,-1549
brnkqb1r/p1p3pp/1p3p2/4p3/8/1PB2P2/P1PP2PP/1RNKQB1R w KQkq - 0 8,f1d3,19,-15
r1nkr1b1/3p1ppp/1p2p3/2p5/6P1/3QP2q/PP1K1P1n/R1N5 w kq - 0 17,e3e4,9,-5426
6rk/1p2n2p/1n1p4/2p4P/6q1/2P1P3/P1P2RP1/6K1 b - - 2 20,b6d5,6,#-7
r4q1r/1k1p1p1p/1pp3p1/1N2p3/pP1nPPP1/P2Q4/2PP3P/1K1RN1R1 b - - 0 16,d4b5,16,131
q1nrk1br/p2p2pp/1p2np2/4p3/1bP1P3/1P1Q1P2/P3N1PP/1B1RKNBR w KQkq - 3 9,e1f2,19,10
rkbr3b/ppppqp1p/3n2p1/8/4nQ2/1PP3P1/PB1P3P/RK1RN1NB w KQkq - 1 8,e1c2,16,-147
5rk1/p2p1pp1/1p6/3np3/4Kn1p/3P1P2/6P1/6R1 b - - 1 29,d7d6,8,#-9
3r1rk1/R7/1p2qpp1/2b1p2p/2P4P/1PN3P1/P3Q2K/3R4 b - - 2 25,c5d4,19,-4
6k1/1p2b1pp/5p2/4p2P/2K1q3/pPB5/P7/8 w - - 0 34,c3d4,2,#-2
1r2qrk1/7p/n4np1/bppp1p2/p4N1P/P1P1PPP1/1PN5/1KBRRQ2 b - - 2 23,e8f7,19,0
1k1rqr2/pp1pb1pp/2p2p2/3n4/Q6P/3NP3/PPP3P1/1K1R1R2 w - - 14 25,a4g4,10,-2300
r7/1k3q1p/1pb3p1/1Qp1B3/1n1p1PP1/1P2p3/1K5P/R3R3 w - - 8 35,b5e2,10,-1029
b5k1/p1p2p1p/1p3p2/5P2/2P2p2/1P6/P1B1rPPP/2R2K2 b - - 1 18,e2d2,19,11
rkbqr1n1/pp3p1p/2p3p1/4n3/4PB2/6P1/PPP4P/RK1QRN1B w KQkq - 0 10,d1d8,10,7678
5B2/1pk3p1/5pp1/1P6/p1K5/6P1/Pb5P/8 b - - 13 35,f6f5,19,-47
1r4k1/ppn2r1p/2p1n1pB/4bQ2/8/1NP3P1/PP3PBP/1R3RK1 b - - 0 16,g6f5,10,504
qnrbkrb1/p1ppp1pp/5pn1/1p6/4PP2/4B1N1/PPPP2PP/QNRBKR2 b KQkq - 1 4,e7e5,19,71
rk1r1nbb/p1pqp2p/3n1p2/1p3Pp1/6P1/3P4/PPP4P/RKQRNNBB w KQkq - 0 8,a2a4,10,518
nbbqrnkr/ppp1pppp/8/3p4/4P3/1N6/PPPP1PPP/1BBQRNKR b KQkq - 0 2,d5e4,19,3
1rk1n2r/p1pp2pp/1p1bpp2/8/2NP4/qP3PQP/PRBPPP2/2K4R b Kkq - 4 12,a3b2,10,-533
rknb1nrq/ppp1pppp/2bp4/8/5PP1/8/PPPPP2P/RKNBBNRQ w KQkq - 1 3,e2e4,19,39
rqb1kbrn/pppppppp/2n5/8/4P3/2N5/PPPP1PPP/RQB1KBRN b KQkq - 2 2,h8g6,19,3
bqr2rk1/p1b2ppp/4pnn1/2p5/2P5/4NN2/P1B1PPPP/BQRR2K1 w - - 4 11,b1b8,19,19
1r2b1r1/p1nppp1p/1p1n2pk/7q/2N5/P3PQP1/BPP2P2/R2N1RK1 w - - 1 18,f3h5,16,121
qrbnknrb/pp1p1p1p/2p3p1/4p3/2P5/2N1P1P1/PP1P1P1P/QRB1KNRB b KQkq - 1 4,d7d6,19,50
1rkbrn2/1bp3q1/pp3pp1/4p2p/2BnP3/1P3P2/P2P1NPP/BK1RRNQ1 w kq - 0 15,d1c1,19,-2
br1bq1kr/p1p1nppp/1p1pn3/4p3/4P3/1P1PN3/P1P1NPPP/BR1BQ1KR w KQkq - 2 6,h2h4,19,24
1r1k2r1/1pq1nppp/pn1p4/1b6/2p1PP2/6NP/PPP1BBP1/1RQ2RK1 w kq - 2 14,c1e3,10,941
8/p1k5/2p1np1p/1p1p4/8/PRb4P/KPr3r1/3R4 w - - 0 32,b3c3,10,-6026
