Position,Score,Move
r1k2B2/bppb2pp/p1n3n1/8/4Pp2/2N2P2/1qBK1NPP/R4RQ1 b q - 0 17,#-7,a7e3
1k6/pppp4/r6p/3q3P/P7/K5P1/8/8 w - - 13 47,#-5,a4a5
8/3Q3p/1b4pk/p4p2/4p3/4P1P1/5PBP/R5K1 w - - 0 56,#+12,d7e7
1k6/8/8/3pb3/2p5/4p3/pr4p1/2K5 b - - 3 59,#-1,g2g1q
1kn1Q2b/pp2P2p/q1p3p1/8/3P4/8/PP4BP/1K1RR3 b - - 0 27,#+18,a6b5
1r4k1/2ppp2p/1pn3p1/3N2q1/8/1P6/P1PPP2P/1R1KNr2 w - - 0 16,#-24,d5e7
8/p3Q1pk/2R4p/8/8/1P2pN2/Pb3PPP/6K1 w - - 0 30,#+6,e7e4
2krb1r1/pp1p2pp/2p1p3/3nNp2/3P4/3Q1K2/Pq3PPP/2R5 b - - 1 22,#-30,e8h5
2Q1nrb1/1Bb1k2p/1p1p1pp1/p1p5/2P2p2/1PB3P1/1N1PP2P/R2K1R2 w KQ - 1 18,#+17,f1f4
7k/p5pp/5p2/2Q5/6P1/P2r4/4q2K/8 w - - 6 41,#-2,h2h1
4r1k1/p3P1p1/2RP3p/4KP2/4Q2P/8/P7/3q4 w - - 3 43,#+21,e5e6
8/4p3/6p1/5p2/2k2PpP/1pbp4/8/2K5 b - - 1 42,#-5,b3b2
6r1/1k6/1p6/2n4p/1p4pP/6P1/8/2K5 b - - 3 44,#-17,b7c6
k2rr3/1R3pp1/p4pnp/b1Q5/b7/3BPNN1/3PK1P1/1R6 b - - 0 26,#+8,a5b6
5k1r/pq3bpp/2pQ2N1/8/4p3/2P1P3/PP4PP/4RRK1 b - - 4 27,#+14,f8e8
5rk1/3q4/p3n3/2p1B3/4p3/3pK3/PP1R2P1/8 w - - 0 35,#-17,b2b4
r2k1r2/pp1pp1pp/2pn1p2/b7/P2PnP2/3qBNP1/6KP/2Q5 b kq - 1 19,#-26,d3e2
2kr3r/1p1bppp1/p1p3p1/4q3/1BN1p3/2P3P1/PP2PP2/Q2R1RK1 b - - 3 15,#-7,e5h5
3r4/4R2p/5p2/pR4p1/1b2k3/1P2BbP1/P4P1P/6K1 b - - 13 41,#-5,b4e7
8/1k5p/p7/8/P7/KPP5/5q2/8 w - - 3 60,#-17,b3b4
b7/4k2p/4pp2/pB6/P2K4/8/7r/8 w - - 0 33,#-35,d4c5
5kr1/2p4p/1pP2P2/3pP3/1R1P1Q2/3K4/P2B3P/6q1 w - - 5 39,#+22,e5e6
6kr/4ppp1/2rp4/5b1p/5n2/1PN2PR1/2P3P1/1Bq2K2 w k - 0 22,#-8,c3d1
2k1r2q/8/p1pQ2p1/1bPp1p2/1P4P1/5P1p/7P/4R1K1 w - - 4 35,#-23,g1f2
1b6/3kp2Q/3p4/2p5/P4r2/2P5/P1B1P2P/2R1K1B1 b - - 1 21,#+20,d7c6
8/Q1p2p2/1r4pp/k1q5/8/1R6/PPP2PPP/2K5 b - - 0 28,#+2,b6a6
8/6R1/4p2k/p3P2p/1p3P2/1P6/P1P4P/7K w - - 0 50,#+27,g7d7
