Position,Score,Move
r2n2k1/ppp3bp/3p2p1/3P4/2K1P3/2P1B3/PP3r2/RN4q1 b - - 0 23,#-8,g1f1
2r3r1/p3ppkp/1p2n1p1/8/1Pp4P/3qP1P1/PK3P2/1R6 b - - 3 20,#-4,c4c3
3r3k/6pp/8/p1QP2bq/P3K3/2P1p1P1/6N1/8 b - - 3 44,#-15,d8e8
8/7p/3k2p1/P7/2rb4/8/K1n5/8 b - - 0 35,#-2,c4b4
8/p3p2p/2q1k1p1/1p2Pp2/1Pb2P2/P2pP1P1/1B1Q3P/6K1 b - - 6 36,#-26,c6e4
8/p1n5/1p6/4k1p1/2P1p3/P3K1P1/7P/8 b - - 0 50,#-26,g5g4
7b/ppk5/2p1bp2/3n3P/8/Q5K1/5P2/r7 b - - 9 37,#-14,a1a3
r5kb/1N1n3p/6p1/1p2p3/6pq/1N1P4/1PP1P3/R4RK1 b - - 1 23,#-17,h4g3
4Q3/p4pk1/8/5KP1/P7/8/1b6/8 w - - 1 55,#+8,e8d7
8/6k1/8/3R2P1/2B1P1K1/1Pb5/P7/8 b - - 4 52,#+27,g7f7
1n6/5k2/1P4R1/6Kp/2P5/8/8/1B6 b - - 0 45,#+32,f7e7
r4kbr/pR3p1p/1p2pn2/2p5/8/1NP1bP2/PPK1q3/8 w kq - 0 17,#-10,b3d2
2b5/p4k2/5P2/1pN1PnQ1/1P1p4/1R5P/2P1K3/8 w - - 0 38,#+8,g5h5
6k1/8/2r4p/5p1P/5P2/2b1K3/1p1r4/8 b - - 0 55,#-6,c6e6
5r2/p4p1k/6p1/P1pp2Rp/r2b1K2/3P1P1P/8/8 b - - 2 36,#-41,d4f2
r5r1/pp2k2p/6p1/3p1p2/3N1P2/6P1/PPP4P/R3QR1K b - - 5 25,#+12,e7f7
8/2k3p1/Kp3b2/p4Pp1/P1P1r3/1P6/8/8 w - - 0 41,#-18,c4c5
1q3rk1/1p3bpp/8/7r/Q1pP2N1/1P4n1/P1R2P1b/4BR1K w - - 0 25,#-20,h1g2
n2k4/5pQ1/1p1p3p/8/q1K5/5P2/1P1b2PP/4r3 w - - 10 28,#-6,c4d3
1r1r4/1kppq1np/4p1p1/1NP1P3/3Q1PP1/1N5P/1K1R4/3R4 b - - 0 31,#+18,b8a8
1r6/ppk1p2r/1n2Pp2/3p3p/1P1N4/2P1Q3/q2N2PP/4RR1K w - - 0 26,#+8,e3g3
3Q4/k7/8/1Qp5/2P1p1P1/2b2P2/P1p4P/1K6 w - - 0 44,#+3,b1c2
2k5/pp5p/2pK2b1/8/8/P2r4/4r3/6R1 w - - 6 38,#-4,d6c5
2kr1r1q/Qpbb3p/2p2np1/3p2B1/8/2P2Pp1/PPB2PPP/R3R1K1 w - - 0 18,#+7,a7a8
6k1/ppp5/2b2b2/4p3/7n/2P5/PPQP2rK/RN6 w - - 20 39,#-4,h2h1
8/8/8/p1kR4/1p1R2N1/P7/1P4P1/7K b - - 1 35,#+8,c5b6
bn1br1r1/p4p1p/3p1kn1/1p2pNQ1/3pPPB1/1P6/P1q3PP/BN2RRK1 b - - 1 11,#+1,f6e6
8/pp6/6Q1/2p3NK/2P5/1P6/8/7k b - - 1 44,#+5,h1g1
B1n2k1Q/p6p/1p6/5qp1/1P2R3/P2P2p1/5P1P/1N3KR1 b K - 0 18,#+12,f8f7
8/3r4/8/2p5/2k3p1/5b2/P1NK4/8 w - - 0 52,#-33,d2e3
8/6p1/3B1p2/1p3P2/3k4/8/4r1K1/8 w - - 2 55,#-51,g2g3
8/8/kb1Q4/1p6/6PP/8/P7/7K w - - 5 44,#+20,h4h5
8/p4Q2/5P1k/3p2p1/4p1P1/1P2q2P/P7/5BK1 w - - 5 45,#+29,g1h1
3r4/8/k7/2p5/Pp1b2p1/2nN2P1/3B2KP/8 b - - 0 47,#-48,d4e3
rq1b3r/pppk1b2/3pN3/8/4Qpp1/2P4P/PP3PPB/R2B1RK1 w - - 1 15,#+3,e6c5
1r4k1/p4ppp/1pp5/6q1/1P1Pr3/P1B4P/1N3P1K/1R6 b - - 3 28,#-14,g5f5
3k2b1/7p/3p4/p2P4/2r4P/5B2/6PK/8 b - - 1 34,#-34,a5a4
2kr1Q2/1p4Q1/pqp5/3p4/2PP1R2/2P4b/P2K3P/6R1 b - - 1 34,#+29,b6b2
8/8/2P5/8/1B5k/P7/K1R4P/6R1 b - - 0 39,#+3,h4h3
2R4r/3kq1pp/4rp2/p3b3/6P1/1B6/PP2QPPP/B3R1K1 w - - 3 19,#+36,b3e6
8/7k/1P6/3B4/7P/1P2B3/2P5/2K5 b - - 0 41,#+7,h7h8
2Q5/1p1r2pp/p3b3/1kP5/3p1P1P/PP6/3B4/2K5 b - - 1 39,#+24,e6b3
8/Pk1p3p/1P1n4/4p1p1/q1P1Pp2/5P2/4NQPP/5RK1 w - - 1 26,#+20,f2c5
8/pQ4kp/N7/5np1/8/2P3P1/PP3PKP/4R3 b - - 2 38,#+6,f5e7
2kr4/ppp4p/8/4qN2/8/2R3P1/PPK1P2P/3r2N1 w - - 0 21,#-12,g1f3
1R6/5p2/5Pk1/8/6pp/8/1p5K/1r6 b - - 1 51,#-53,g6f6
5r1k/R5bp/2p1B3/1pP5/1Pn1p3/6P1/2Q4P/6K1 w - - 2 31,#+31,c2e4
1r3k2/1pp2P2/p7/8/6qb/2B5/1P3R1P/2N4K w q - 3 27,#-43,c1d3
6r1/p4pk1/2p5/3p1Pp1/5nPp/1B1q4/P2N1R2/4K3 w - - 6 33,#-31,e1d1
6B1/4k3/7p/1p3p1P/1PpP1Pp1/2P3P1/2NK4/8 w - - 1 46,#+15,d4d5
8/6p1/2Qkbb2/8/5R2/1p5P/6B1/3K4 b - - 3 46,#+7,d6e7
k7/2Q5/pp1n4/8/7P/3PP1P1/PPP5/2K3R1 b - - 0 28,#+7,d6f5
b1r3k1/6pp/5q2/4R2P/1p1n1P2/pP1P2P1/2r2N2/1KBR2Q1 w - - 5 30,#-4,e5a5
8/7p/5kp1/5pN1/7q/8/2r1nPK1/8 w - - 0 49,#-4,g2f3
6k1/p1prb1pp/2bp4/Pp1Pp3/1n2P3/2PB2R1/3Q1N1q/B4KR1 w - - 0 27,#+4,g3g7
4k3/p1p3Q1/5P2/4q3/P7/1P3BK1/2P4P/8 w - - 6 39,#+26,g3g2
2r4k/p4p1p/1bNn1p2/1P5b/Q2NP1q1/3P4/P1B2P1P/R4R1K b - - 2 23,#-3,g4f3
8/p5k1/4p1p1/2p5/2P5/1P1NP1R1/P2P1P1P/3K4 w - - 0 36,#+29,d1c2
8/8/2Pk4/7p/2p3P1/1pR5/7r/1K2B2B w - - 0 43,#+16,e1g3
8/4PRpk/1p5p/p7/5P1P/5KP1/r7/1q6 b - - 0 39,#-3,b1d3
r4r2/1p2k1p1/1p3pBp/3Qb3/5P2/1P6/P5PP/q1NKR2N w - - 0 15,#+33,f4e5
2b1r1k1/p4qpp/1p6/3P1p2/2P5/1PK2P2/r1B3PP/3RR3 b - - 1 23,#-32,e8e1
1r2r1k1/7p/1p2n1p1/p2Q1p2/P2PpN2/1PR1P1P1/5P1P/5RK1 w - - 5 33,#+13,f4e6
8/8/1k3p2/p3pNp1/1PP1P1P1/P1K2P2/7P/8 w - - 1 42,#+14,b4a5
1k6/5PR1/6N1/4P2p/1p1PK3/6P1/1n5P/8 b - - 0 43,#+6,b8a7
8/p1Q1R3/kp6/8/2P5/KP3P1P/8/r7 w - - 8 40,#+6,a3b2
k1r5/4P2p/p2Q2p1/q7/8/1PpP2PP/2P5/1K1RR3 b - - 0 35,#+16,a8a7
6k1/p5p1/3pNp1p/2p2P2/3p4/2r5/3K3P/8 b - - 3 50,#-55,c3h3
8/8/4kP2/2p1P2p/1p4p1/3K4/7P/8 w - - 0 40,#-49,d3c4
8/1p3kpp/8/R2p4/P2P4/bP6/5PKP/B4N2 w - - 1 28,#+25,a5a7
8/1bk5/p1p5/1p1p4/1P1q4/PK1R4/8/8 b - - 5 53,#-8,d4d3
2k1r3/2b5/p1R5/4p3/P4n1p/1K6/8/4r3 b - - 1 37,#-18,e1e3
8/8/8/1N4p1/P5Pp/4k2K/1P4BP/6N1 w - - 1 40,#+12,a4a5
5Q2/6pp/k4p2/1q1B4/3K1P2/1P6/6PP/3R1R2 b - - 3 34,#+8,b5d5
1r3Q2/1p6/4k1p1/2n4p/4r3/1P6/1P5P/1K1R1R1B w - - 1 34,#+1,f8f6
2k2nr1/1pqbQp2/pP1B4/3pN2p/4P1p1/6P1/5P1P/1RR3KB w - - 3 26,#+3,c1c7
8/3k4/6R1/2PBKp2/5P2/6P1/3r4/8 b - - 6 38,#+32,d2e2
8/r7/PkP5/3PKB2/4P3/R7/8/8 w - - 3 56,#+27,f5e6
2Q5/p6p/6k1/8/1P6/4Q3/P7/4K3 w - - 1 43,#+2,c8g8
8/R7/4k1bP/8/6P1/1P2B3/6PK/8 b - - 2 39,#+33,e6d5
n3qr2/2p2R2/1k1N2Q1/4p3/1rPpP2P/1P1P4/6P1/1R5K w - - 3 25,#+15,d6e8
8/1k6/5P2/1p6/2pP4/2Pp4/1P6/2K5 b - - 0 40,#+39,b7c6
8/8/5k2/p1Q4p/2P1p3/2q4P/8/1K6 b - - 2 51,#-31,c3b4
8/p3pk1p/6p1/2P1Qp2/P4P1K/4p1P1/7P/5q2 b - - 1 31,#-15,f1f3
8/8/2p3p1/R1Pp1p2/1Pk5/P1b4n/2K1r2P/8 w - - 0 39,#-16,c2b1
Q3bk2/p3ppp1/1pB5/8/2nP4/4P1P1/P4PP1/q3BRK1 b - - 2 18,#+31,c4d6
8/p5R1/2p5/Qp2p3/P2kP3/3B2P1/1PP5/1K6 w - - 1 37,#+3,a5b4
r5kb/8/5n1p/1p3Pp1/3Pq3/r7/PR2N3/K5R1 b - - 1 31,#-14,b5b4
1r4k1/1rq2b1p/p4Bp1/P1p5/2p1p1P1/2P1N3/R1QKP3/8 b - - 1 36,#-48,c7d6
r1bn1r2/pp1kp1pQ/2pn1qB1/3pb1N1/7P/2P1N3/PP3PP1/R1B3KR b KQ - 2 12,#-1,f6f2
r5k1/2pP1Npp/5n2/2b2p2/8/1QNb4/5PPP/5RK1 w - - 2 23,#+3,f7h6
8/8/6R1/1Q1p4/p2P4/2P5/PPk4K/5R2 b - - 2 40,#+3,a4a3
r2R3k/P6p/2p1Nnp1/4p3/2r1Pp2/7P/5PP1/R6K b - - 4 44,#+19,a8d8
3r1rkb/Q3pp1p/1pqn2p1/8/1N6/2N3P1/PP1P1PKP/B2RnR2 w - - 7 15,#-4,g2h3
n2b1k2/1r3nqQ/1p3p2/p6B/3N4/2P3N1/6PP/5R1K w - - 4 21,#+27,d4e6
7r/5np1/1k1p1p1p/2pPp2P/p3PP2/1NKP2P1/8/4R1Q1 w - - 0 37,#+15,b3c5
2rkr3/pqp2ppp/1p1p2n1/2bP4/8/PP4P1/1BP1BP1P/Q1RK4 b Qkq - 0 16,#-33,b7d5
5rkb/6np/3p1pp1/3Pn3/3qP3/5PP1/2R2KBP/5QR1 w - - 7 29,#-26,f2e2
4B1k1/p2R4/4p3/4Bp2/6pp/8/PPP3PP/6K1 w - - 2 32,#+4,e8g6
k7/2Q4p/1p4p1/p1p1p1P1/P3PqB1/1P1P3P/1KP5/8 w - - 3 41,#+3,g4c8
2R5/8/3k4/1p1pp1pp/1P1b4/3P3P/5rP1/6K1 b - - 6 34,#-20,f2f8
rbk5/p4Q1p/1pp3p1/4P3/P2R4/1P6/BKP2NPP/R5B1 b - - 0 21,#+15,b8e5
8/8/8/1p1P4/8/P2P1k2/3K2p1/6Q1 w - - 1 52,#+9,d5d6
b4k1R/p7/1p4p1/2b1B1N1/P3p3/8/1K1R4/5r2 b - - 5 39,#+28,f8e7
5rk1/1p3p2/2P5/1P1P3B/3pp1P1/r5q1/2P2RK1/1Q6 w - - 1 37,#-25,g2f1
8/8/1kp2p2/8/4b3/8/Kp2r1R1/8 b - - 1 41,#-3,b2b1q
6kr/6p1/7r/1pp1p1n1/2p1P1P1/P1P2PQ1/1PB2KP1/3R4 w - - 3 36,#+30,g3e5
8/8/1k5P/p3R3/5P2/1P2P1P1/P7/6K1 b - - 0 43,#+7,a5a4
r3kr2/pp5p/1n2b1p1/N7/2pN4/2P4P/P2P2q1/R2K3R w q - 0 22,#-30,d1c2
8/k7/4B3/8/8/3P2P1/2P2P1P/6K1 b - - 0 62,#+27,a7b6
8/5pkp/6p1/p7/3Q1P2/1P3PPK/P3q2P/7r b - - 3 28,#-9,f7f6
3r3k/p1pp4/1p4pQ/1P6/3b2P1/P7/2q1r2P/1N3R1K b - - 0 33,#-21,h8g8
8/6k1/4B3/2BPPp2/5bpR/6P1/4K3/8 w - - 0 61,#+6,g3f4
nbr3k1/1pr1p2p/p3b3/6p1/5p2/1P1N1P2/P1B2KPP/q1B2R1Q w - - 0 19,#-19,f1d1
8/PR6/8/4kPp1/1P4K1/6N1/8/r7 b - - 2 52,#+30,e5f6
2b5/2P2pk1/3p2p1/3p3p/3P4/5pP1/1q2r2P/R2Q1N1K w - - 2 40,#-7,d1e2
6R1/ppq1k3/4b1r1/2p4p/2PpP2P/3P2b1/P1B3K1/2R1BQ2 b - - 0 26,#-28,g6g8
2k2Q2/ppp2B1p/6p1/6P1/4Pr2/2P5/PP1KR3/5q2 b - - 0 30,#+6,c8d7
r2bqrb1/p1p3pp/Bp1kpp2/8/3NnP2/8/PPPQ1B1P/2KR1R2 w - - 2 21,#+18,d2b4
8/2k4p/1p3p2/6p1/8/4KP2/1qp3PP/3R4 w - - 0 46,#-28,d1h1
8/p2kppb1/3p2p1/P7/2qP4/4Pb2/1r2NP2/2NKQ3 w - - 13 32,#-23,e1d2
8/7Q/2pkn3/2p2r2/8/3P4/PPP4P/R2KB3 w - - 1 37,#+22,h7f5
5k2/p5pp/8/2q1p2P/3bPp1B/5P2/5PK1/8 b - - 1 44,#-26,f8e8
1r6/2bPr3/4Pk2/1p1K4/6R1/6pB/1P6/4R3 w - - 3 47,#+2,e1f1
2kr3r/1p2p1p1/1P3pb1/4n2p/5q2/2P5/PPN2BPP/RK3Q1R b - - 4 18,#-14,d8d2
b4q2/p7/1k1p4/2bP4/2Q2P2/6NP/P3R1PK/4R3 b - - 5 35,#+33,a7a5
7Q/p5p1/4bp2/8/4P1kP/4b3/PP6/RN2K3 w Q - 0 23,#+30,h8g7
8/6R1/7p/1k2p3/p3P3/4KP2/6P1/8 w - - 0 44,#+51,g7a7
8/R7/1N3pp1/5k2/8/6P1/2n1PPK1/7R b - - 0 31,#+25,c2d4
n3r1k1/p2Q3p/1p4p1/2P5/5q2/7R/PP3PbP/1B3RK1 w - - 0 20,#+20,d7h7
3r1r2/2p4p/2k3p1/PPN5/3B2P1/1P1Q4/6KP/8 b - - 0 42,#+3,c6d6
rkn1nb1r/ppp3pp/4b3/4p3/4P3/2P1B3/PP4PP/RKN4q b Qkq - 0 10,#-22,h1g2
B2Q4/5k1p/4r3/pp2bp2/1P6/6p1/P6P/3R1K2 b - - 3 33,#+22,g3g2
8/2pk3p/p1p4Q/1p1n4/1P2b3/P1P3B1/2N1K1PP/1R6 w - - 6 28,#+14,h6h3
8/p4R2/1p6/6p1/6k1/1P1K1p2/P1P4P/8 w - - 4 37,#+35,d3e4
3nk3/4p3/8/3p3p/1P4bP/pPqp2Q1/P4rP1/1KB5 w - - 0 30,#-4,g3f2
8/4Q1kp/3P4/1B2p1p1/1p2Pp2/1P3P1P/P5P1/6K1 b - - 2 42,#+4,g7h6
5r1k/5bp1/1p5R/p2p1B2/8/2P1rPP1/PP5P/3Q1R1K b - - 0 29,#+25,g7h6
1k1b1n2/pp3P2/8/3p1Np1/3P2P1/5Q1p/PP1B3P/5RK1 b - - 1 29,#+23,d8c7
6kb/1b3p1p/2q1p1p1/8/2p2P1P/1pP3P1/rP1B4/1Q2RBK1 b - - 0 35,#-4,c6h1
8/pN1k1Q1p/n1p1n3/8/5p2/8/PPP1Pq2/2K4B b - - 0 24,#+5,d7c8
6r1/5b2/1p4pB/5k2/1P1q1pP1/P4P2/7P/4R2K b - g3 0 36,#-27,f4g3
2kr3r/3p2pp/pNpB2b1/4p1b1/q3P3/2Q2P2/4N1PP/1R3BKR b KQ - 1 17,#+7,c8b7
6k1/P7/1R6/5K1p/5N1P/8/P7/8 w - - 13 51,#+3,a7a8q
bn2rk1B/pq2pp2/1p6/7p/1bP1P1p1/1P4P1/P3B2P/2Q1NRK1 w q - 1 18,#+2,c1h6
3k4/1p1p4/8/p4P1p/2P2Q2/1P5P/P1q3P1/3R3K w - - 1 34,#+6,d1e1
k3b3/p1Q2pr1/B1p4p/5p2/2pP4/8/PP2P2P/1RK5 b Q - 0 23,#+5,g7g1
2k1n2R/2n5/1p2p3/p3P1p1/2p3P1/8/K2r4/8 w - - 2 39,#-33,a2b1
1k1r1R2/ppp4p/1q6/3P4/8/P1PP2P1/1K6/8 w - - 1 31,#-9,b2c1
3k4/4R3/7p/1p3p2/1B6/P5P1/1P3PKP/7R w - - 0 32,#+5,h1d1
8/pp3b2/1kp2P2/2Np2Bp/3P1Q1P/2Pn2P1/P4RK1/3q4 w - - 7 35,#+9,f4b8
8/ppk5/3p4/2r3p1/1K3p2/8/8/8 w - - 0 46,#-8,b4a3
r6k/p6p/2p5/1p4R1/1P1p4/1Kb5/Pr6/8 w - - 2 40,#-3,b3a3
1kr5/4R1b1/1p3p1p/p2p2p1/3P2P1/1N5P/qnPKR3/5Q1B w - - 0 27,#+21,h1d5
3r4/8/3r1k1p/5pp1/1p1p3P/1P3KP1/8/3n4 b - - 0 40,#-8,g5g4
8/1bQ1R3/k1p3r1/2Pq4/rp1P4/p1p3N1/P4RPP/6K1 w - - 6 41,#+1,c7b6
r6r/pkb1ppp1/2p4p/3n4/8/P4NP1/1q1N1P1P/1R1K2BR b - - 1 20,#-25,d5c3
8/6pp/6k1/8/8/R4PB1/6PP/5K2 w - - 1 34,#+33,f1e2
1r6/2pb1p2/pq2pQp1/1p1k4/1P3BN1/2P3P1/P4P1P/3RR1K1 b - - 1 25,#+18,d5c6
8/5bn1/p3p1k1/1Q2P3/3P2PP/2P5/PP6/5K2 w - - 0 36,#+42,b5d3
bq4k1/ppr1rpnp/5Qp1/2pB2N1/2P1P1N1/6P1/P4P1P/2R2RK1 w - - 1 18,#+23,g4h6
3k1n1r/B5pp/2p5/4Qp2/2p1P3/2P2P2/bP4PP/2KR4 b - - 1 19,#+2,f8d7
1b1r1rk1/pb4p1/1p6/2pP2q1/5p1p/1P6/PQ1B1KPP/1N2R2N b - - 0 24,#-23,g5d5
5r2/p3bp1k/4p2p/1qr1P2Q/2N5/1P5R/5PPP/1R4K1 b - - 1 31,#+3,e7h4
1R6/p1R1rkpp/8/8/1P3Q2/6PP/P2P1P1K/5q2 b - - 5 34,#+3,f7g6
8/p2R4/2p5/4Qrk1/2P1p2p/1P3PrP/P5PK/8 w - - 5 38,#+4,f3f4
5r1b/Q1p5/4kp1p/4pNp1/1P4P1/P6r/3R1P2/2B2RK1 w - - 0 31,#+3,a7c7
6k1/p1p2p2/1p2p3/4PnP1/2P3Q1/PP1q2PK/8/8 b - - 2 29,#-15,f5e3
8/6pp/5p2/2k5/8/P4q2/KP1N3P/8 b - - 3 35,#-25,f3d5
7r/pp2r1k1/4n1p1/P2b3p/5n2/1PR3P1/8/NB4K1 b - - 0 31,#-11,f4h3
8/4pkp1/3pnp1p/7Q/4P3/4P2P/Pr3qPK/8 b - - 2 34,#-11,g7g6
8/4k3/3R2K1/4PPP1/8/pP6/P7/8 b - - 6 61,#+4,e7e8
3r1b1k/Q5pp/p4p2/1p1q1P2/1P1n4/P4pP1/5RKP/8 w - - 0 37,#-18,g2h3
5k2/6p1/6bp/8/P2Q4/1P6/4K1PP/8 w - - 0 36,#+26,d4d6
k1r5/p4pp1/p6p/5q2/1Q6/1N4P1/1PR3P1/1KR5 w - - 3 29,#+15,b4f4
6k1/7p/6p1/1pP2p2/1P2bP2/PRK1Pq1P/8/8 w - - 4 45,#-8,a3a4
2kb3r/3n4/3p4/p1pPp3/1pP1P2N/6PQ/PP1B3P/5RK1 w - - 1 33,#+19,f1f7
8/p6k/3p3p/2pBp2P/1pP1P1K1/3r4/8/8 b - - 1 41,#-35,d3d2
4r1k1/p5pp/1p6/2p5/3p1Q2/1P1P2PK/P3q2P/8 b - - 3 30,#-28,e2d3
1k1rn1r1/1p4pp/8/1p2P3/P4N2/1PK2qP1/7P/R6R w - - 0 22,#-5,c3c2
2k1r1q1/R1p3pp/5pn1/N3p3/3P4/b1P5/4K1PP/6BN b - - 0 21,#-12,g6f4
8/6p1/5n1p/4kPp1/6P1/6K1/8/8 w - - 25 62,#-40,g3f3
8/1BPRpppk/7p/4P2P/p5P1/P1P5/r4r2/3K2R1 w - - 4 40,#+22,b7e4
8/1pp1kP1r/1p1p1q2/4p2K/3n4/3P4/P1P3PP/8 w - - 0 30,#-1,h5g4
3b3r/pq6/1p4kp/2p1B1n1/2P1n1p1/1P6/P1BQ1PPP/3RR1K1 w - - 0 22,#+18,e1e4
r7/3kq1p1/2b3R1/3pP3/P2P4/1P4N1/3Q2PP/5R1K w - - 1 27,#+22,e5e6
8/pp1k4/2p5/2P2B2/1P1P4/7K/P4q2/4q3 b - - 0 38,#-3,f2f5
8/1p5p/2p1K1p1/4p3/pk1bP3/3P4/8/8 w - - 0 42,#-26,e6f6
6k1/8/1p4P1/2bR3N/7r/p4K2/8/8 w - - 0 46,#+8,d5d8
3k2r1/B1nb2pp/3b4/Q3n3/1rP1Bq2/3P4/P4PPP/R4RK1 b k - 0 19,#-2,e5f3
8/p6p/6p1/1p3p2/3P1P1P/k1K5/8/8 b - - 0 39,#-54,b5b4
8/1kp4p/pp4p1/1q6/2nP2PP/1KP5/PP3Q2/4r1B1 w - - 7 36,#-14,b3c2
8/ppk5/3p1P2/PPp5/2PpP3/3Pq3/6K1/8 b - - 0 44,#-28,e3g5
8/1p5p/1p1k4/8/1r2P3/6K1/2P4P/8 b - - 0 32,#-28,b4e4
2Q5/p2pp2p/3k1p1B/1n1P4/8/8/Pq4PP/2R3K1 w - - 3 29,#+2,h6f4
8/6pk/8/4Bp1p/5P2/6r1/4K3/8 b - - 1 49,#-34,h5h4
8/8/2p5/2k5/8/pP6/P2N4/1K1N4 b - - 6 44,#+43,c5d5
6k1/p2p3p/1p3B2/5p2/2P1r2P/1PQ3b1/P4q2/4R2K b - - 1 27,#-1,f2h2
